"Overview","Overview"
"Integration for Mobile App by Aheadworks","Integration for Mobile App by Aheadworks"
"Mobile App Key","Mobile App Key"
"App Overview","App Overview"
"DownloadApp","DownloadApp"
"aw-mobile-app-subscription:launch-integration error: %1","aw-mobile-app-subscription:launch-integration error: %1"
"aw-mobile-app-subscription:delete-integration error: %1","aw-mobile-app-subscription:delete-integration error: %1"
"Aheadworks_MobileAppSubscription: Warning! Integration already exists or exception has occurred!","Aheadworks_MobileAppSubscription: Warning! Integration already exists or exception has occurred!"
"Failed to synchronize subscription data to the Aheadworks service.","Failed to synchronize subscription data to the Aheadworks service."
"A sync retry will start automatically.","A sync retry will start automatically."
